Number of Followers,Location,Screen Name,Tweet,
48,,AvaAum,"b'Sooo excited about this new equipment! Yes, I\xe2\x80\x99m a gearslut \xf0\x9f\x96\xa4\n\n* Paul Reed Smith SE Starla guitar - metallic green w\xe2\x80\xa6 https://t.co/FADr14l4rN'",
10366,UK,kokoshungsan,b'PRS Private Stock Custom 22 Green Electric Guitar Paul Reed Smith\n\n Item specifics\n\n ...\nhttps://t.co/83IQNIna7T https://t.co/5uqMtCMnsi',
308,"Lakeville, MN",skiyouMeeko,b'@seehafer_ @NotDWolfson @jrborman13  I really like the potential fits of both Jalen Smith &amp, Paul Reed for the Wolves'
8,Houston,tyler_caillet,"b'RT @prsguitars: We know you love #privatestockfriday, but we also think you\xe2\x80\x99d love Paul\xe2\x80\x99s Guitar Masterclass, airing tonight at 830 PM EST\xe2\x80\xa6'",
37,,itz_abdoul_q,"b'RT @prsguitars: We know you love #privatestockfriday, but we also think you\xe2\x80\x99d love Paul\xe2\x80\x99s Guitar Masterclass, airing tonight at 830 PM EST\xe2\x80\xa6'",
1698,,Ray_Rey_Extreme,"b'RT @prsguitars: We know you love #privatestockfriday, but we also think you\xe2\x80\x99d love Paul\xe2\x80\x99s Guitar Masterclass, airing tonight at 830 PM EST\xe2\x80\xa6'",
868,"Columbia, SC (803) 787-2773",TheMusicStoreSC,b'Just SOLD .. Paul Reed Smith \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 Custom 24  (10 Top) with Birds - We Buy Guitars https://t.co/xbF4HKHyaB',
5880,,guitar,b'RT @PRSGuitarsEuro: Watch Paul Reed Smith\xe2\x80\x99s guitar masterclass at @guitar here \xf0\x9f\x91\x89  https://t.co/FdyCzh6dT4 https://t.co/A08uMSzz2P',
7036,,PRSGuitarsEuro,b'Watch Paul Reed Smith\xe2\x80\x99s guitar masterclass at @guitar here \xf0\x9f\x91\x89  https://t.co/FdyCzh6dT4 https://t.co/A08uMSzz2P',
974,,bot_gear,b'Orianthi with paul reed smith custom22 https://t.co/1dcNe6x0EP',
396,"Greeley, Colorado",Lazaro_Lopez,"b'RT @prsguitars: We know you love #privatestockfriday, but we also think you\xe2\x80\x99d love Paul\xe2\x80\x99s Guitar Masterclass, airing tonight at 830 PM EST\xe2\x80\xa6'",
1497,3 years to the END,Sukinaya_note,"b'RT @prsguitars: We know you love #privatestockfriday, but we also think you\xe2\x80\x99d love Paul\xe2\x80\x99s Guitar Masterclass, airing tonight at 830 PM EST\xe2\x80\xa6'",
4546,,martlarr2,"b'RT @prsguitars: We know you love #privatestockfriday, but we also think you\xe2\x80\x99d love Paul\xe2\x80\x99s Guitar Masterclass, airing tonight at 830 PM EST\xe2\x80\xa6'",
33,,rockingviraj45,"b'RT @prsguitars: We know you love #privatestockfriday, but we also think you\xe2\x80\x99d love Paul\xe2\x80\x99s Guitar Masterclass, airing tonight at 830 PM EST\xe2\x80\xa6'",
1518,China,KLDguitaramp,"b'RT @prsguitars: We know you love #privatestockfriday, but we also think you\xe2\x80\x99d love Paul\xe2\x80\x99s Guitar Masterclass, airing tonight at 830 PM EST\xe2\x80\xa6'",
1143,,dab_tothefuture,"b'RT @prsguitars: We know you love #privatestockfriday, but we also think you\xe2\x80\x99d love Paul\xe2\x80\x99s Guitar Masterclass, airing tonight at 830 PM EST\xe2\x80\xa6'",
67,,RJamarama,"b'RT @prsguitars: We know you love #privatestockfriday, but we also think you\xe2\x80\x99d love Paul\xe2\x80\x99s Guitar Masterclass, airing tonight at 830 PM EST\xe2\x80\xa6'",
297,"Onitsha, Nigeria",Paul_Smith_umeh,b'RT @NBCNews: BREAKING: Marine One lands on White House lawn to transport President Trump to medical center. \n\nhttps://t.co/5ydAfIxZd8 https\xe2\x80\xa6',
82,London,j0nesci,"b'RT @prsguitars: We know you love #privatestockfriday, but we also think you\xe2\x80\x99d love Paul\xe2\x80\x99s Guitar Masterclass, airing tonight at 830 PM EST\xe2\x80\xa6'",
191,,moewb,"b'RT @prsguitars: We know you love #privatestockfriday, but we also think you\xe2\x80\x99d love Paul\xe2\x80\x99s Guitar Masterclass, airing tonight at 830 PM EST\xe2\x80\xa6'",
409,,SDistortion,"b'RT @prsguitars: We know you love #privatestockfriday, but we also think you\xe2\x80\x99d love Paul\xe2\x80\x99s Guitar Masterclass, airing tonight at 830 PM EST\xe2\x80\xa6'",
286,Somban,nabill_suu,"b'RT @prsguitars: We know you love #privatestockfriday, but we also think you\xe2\x80\x99d love Paul\xe2\x80\x99s Guitar Masterclass, airing tonight at 830 PM EST\xe2\x80\xa6'",
7,"San Francisco, CA",TheLordofTheInt,"b'RT @prsguitars: We know you love #privatestockfriday, but we also think you\xe2\x80\x99d love Paul\xe2\x80\x99s Guitar Masterclass, airing tonight at 830 PM EST\xe2\x80\xa6'",
563,新潟 新潟市 中央区,XlYLxP8D4pHD0,"b'RT @prsguitars: We know you love #privatestockfriday, but we also think you\xe2\x80\x99d love Paul\xe2\x80\x99s Guitar Masterclass, airing tonight at 830 PM EST\xe2\x80\xa6'",
606,In my skin,JaysonAndrae,"b'RT @prsguitars: We know you love #privatestockfriday, but we also think you\xe2\x80\x99d love Paul\xe2\x80\x99s Guitar Masterclass, airing tonight at 830 PM EST\xe2\x80\xa6'",
974,,bot_gear,b'Orianthi with paul reed smith custom22 https://t.co/1dcNe6x0EP',
725,"Singapore, for now",lauren_hp,"b""RT @guitar: LIVE NOW: Paul Reed Smith is giving a personal masterclass on guitar building \xe2\x80\x93 you don't wanna miss this. Tune in here: https:\xe2\x80\xa6""",
874,"Milwaukee, WI",CharliePatrick,"b""RT @guitar: We're giving away a @prsguitars SE Custom 24, signed by the master luthier himself! https://t.co/HoWM7ebvHj #guitarlive https:/\xe2\x80\xa6""",
5880,,guitar,"b""LIVE NOW: Paul Reed Smith is giving a personal masterclass on guitar building \xe2\x80\x93 you don't wanna miss this. Tune in\xe2\x80\xa6 https://t.co/8wNkVKz5M2""",
5880,,guitar,"b""We're giving away a @prsguitars SE Custom 24, signed by the master luthier himself! https://t.co/HoWM7ebvHj\xe2\x80\xa6 https://t.co/dtBn0QWEgt""",
8094,,arioabadi,"b'RT @prsguitars: We know you love #privatestockfriday, but we also think you\xe2\x80\x99d love Paul\xe2\x80\x99s Guitar Masterclass, airing tonight at 830 PM EST\xe2\x80\xa6'",
19,(37°73°109°)-1,seb_377,"b'RT @prsguitars: We know you love #privatestockfriday, but we also think you\xe2\x80\x99d love Paul\xe2\x80\x99s Guitar Masterclass, airing tonight at 830 PM EST\xe2\x80\xa6'",
168,,johnny213depp,"b'RT @prsguitars: We know you love #privatestockfriday, but we also think you\xe2\x80\x99d love Paul\xe2\x80\x99s Guitar Masterclass, airing tonight at 830 PM EST\xe2\x80\xa6'",
3130,日本,nanakojasumin,"b'RT @prsguitars: We know you love #privatestockfriday, but we also think you\xe2\x80\x99d love Paul\xe2\x80\x99s Guitar Masterclass, airing tonight at 830 PM EST\xe2\x80\xa6'",
287,,deacon_ara,"b'RT @prsguitars: We know you love #privatestockfriday, but we also think you\xe2\x80\x99d love Paul\xe2\x80\x99s Guitar Masterclass, airing tonight at 830 PM EST\xe2\x80\xa6'",
3329,The Road Not Taken,tres444,"b'RT @prsguitars: We know you love #privatestockfriday, but we also think you\xe2\x80\x99d love Paul\xe2\x80\x99s Guitar Masterclass, airing tonight at 830 PM EST\xe2\x80\xa6'",
643,"Arcata, CA",nicky_deees,"b'RT @prsguitars: We know you love #privatestockfriday, but we also think you\xe2\x80\x99d love Paul\xe2\x80\x99s Guitar Masterclass, airing tonight at 830 PM EST\xe2\x80\xa6'",
2624,"Houston, TX",The_Dero,"b'RT @prsguitars: We know you love #privatestockfriday, but we also think you\xe2\x80\x99d love Paul\xe2\x80\x99s Guitar Masterclass, airing tonight at 830 PM EST\xe2\x80\xa6'",
123,,yvBMEvFh0SDl4Nb,"b'RT @prsguitars: We know you love #privatestockfriday, but we also think you\xe2\x80\x99d love Paul\xe2\x80\x99s Guitar Masterclass, airing tonight at 830 PM EST\xe2\x80\xa6'",
42,,xXcap_21Xx,"b'RT @prsguitars: We know you love #privatestockfriday, but we also think you\xe2\x80\x99d love Paul\xe2\x80\x99s Guitar Masterclass, airing tonight at 830 PM EST\xe2\x80\xa6'",
740,"Houston, TX",RealTrujillo_,"b'RT @prsguitars: We know you love #privatestockfriday, but we also think you\xe2\x80\x99d love Paul\xe2\x80\x99s Guitar Masterclass, airing tonight at 830 PM EST\xe2\x80\xa6'",
3670,"Birmingham, England",lisaplaysguitar,"b'RT @prsguitars: We know you love #privatestockfriday, but we also think you\xe2\x80\x99d love Paul\xe2\x80\x99s Guitar Masterclass, airing tonight at 830 PM EST\xe2\x80\xa6'",
142,,carolinar81099,"b'RT @prsguitars: We know you love #privatestockfriday, but we also think you\xe2\x80\x99d love Paul\xe2\x80\x99s Guitar Masterclass, airing tonight at 830 PM EST\xe2\x80\xa6'",
278,,Klown_0420,"b'RT @prsguitars: We know you love #privatestockfriday, but we also think you\xe2\x80\x99d love Paul\xe2\x80\x99s Guitar Masterclass, airing tonight at 830 PM EST\xe2\x80\xa6'",
9,Korean Kingdom 🇰🇷🇰🇵,SuperTrollKR2,"b'RT @prsguitars: We know you love #privatestockfriday, but we also think you\xe2\x80\x99d love Paul\xe2\x80\x99s Guitar Masterclass, airing tonight at 830 PM EST\xe2\x80\xa6'",
1912,Married,StevenABanass,"b'RT @prsguitars: We know you love #privatestockfriday, but we also think you\xe2\x80\x99d love Paul\xe2\x80\x99s Guitar Masterclass, airing tonight at 830 PM EST\xe2\x80\xa6'",
153040,"Stevensville, MD",prsguitars,"b'We know you love #privatestockfriday, but we also think you\xe2\x80\x99d love Paul\xe2\x80\x99s Guitar Masterclass, airing tonight at 830\xe2\x80\xa6 https://t.co/ijDowWw06o'",
50,,BubbSlo,b'@theIVpointplay What if they keep at 10?  I thought it was around $4mil? So they\xe2\x80\x99d have around $10?\nOr what if they\xe2\x80\xa6 https://t.co/cLQLQka0FZ',
1438,"Greenlawn, NY",GbaseGear,b'New on https://t.co/HLoZXmz2dq #guitars #amps\nhttps://t.co/hkzW92hr4u',
52,The diaspora,SacKingsBooster,"b""@LilSutra @o_a_khan its far from guaranteed they'll be available, but I'd like to grab Jalen Smith or Tyrese Maxey\xe2\x80\xa6 https://t.co/I6bxlCJZWL""",
1746,Los Angeles ,MusicNazo,b'RT @guitar: We chat to Paul Reed Smith ahead of https://t.co/VnVykDbCwF Live.https://t.co/z1BOghxFqb',
1438,"Greenlawn, NY",GbaseGear,b'New on https://t.co/HLoZXmQDC0 #guitars #amps\nhttps://t.co/b38lPnQd5C',
255,"Oregon, USA",egcurrie,b'@hitRECordJoe Paul Reed Smith guitar',
859,Boston,FendrGuitPlayr,b'RT @guitar: We chat to Paul Reed Smith ahead of https://t.co/VnVykDbCwF Live.https://t.co/z1BOghxFqb',
5880,,guitar,b'We chat to Paul Reed Smith ahead of https://t.co/VnVykDbCwF Live.https://t.co/z1BOghxFqb',
770,ヘッダーは津波前の石巻市雄勝町船越 うちの田舎,crew_hate,b'RT @TK_tuucyan: Paul Reed Smith. https://t.co/X5veTJ6d8R',
774,"Beverley Ave, Wimbledon",5150mitchell,b'RT @TK_tuucyan: Paul Reed Smith. https://t.co/X5veTJ6d8R',
418,🎲 🔫🌟🌖,Yuika_az,b'RT @TK_tuucyan: Paul Reed Smith. https://t.co/X5veTJ6d8R',
2125,日本 大阪,mikakishitani,b'RT @TK_tuucyan: Paul Reed Smith. https://t.co/X5veTJ6d8R',
420,,akasuzuran,b'RT @TK_tuucyan: Paul Reed Smith. https://t.co/X5veTJ6d8R',
261,,JIRO_jtcrock,b'RT @TK_tuucyan: Paul Reed Smith. https://t.co/X5veTJ6d8R',
590,インド,Iruia0805,b'RT @TK_tuucyan: Paul Reed Smith. https://t.co/X5veTJ6d8R',
2370,,gibsonfenderprs,b'RT @TK_tuucyan: Paul Reed Smith. https://t.co/X5veTJ6d8R',
613,主にアニソン界隈,TK_tuucyan,b'Paul Reed Smith. https://t.co/X5veTJ6d8R',
1746,Los Angeles ,MusicNazo,b'RT @GbaseGear: New on https://t.co/HLoZXmQDC0 #guitars #amps\nhttps://t.co/DTLmSjBFTX',
1746,Los Angeles ,MusicNazo,"b'RT @guitar: ""We are learning so much through these times about connecting with each other without being able to travel and have in-person e\xe2\x80\xa6'",
974,,bot_gear,b'Orianthi with paul reed smith custom22 https://t.co/1dcNe6x0EP',
1438,"Greenlawn, NY",GbaseGear,b'New on https://t.co/HLoZXmQDC0 #guitars #amps\nhttps://t.co/DTLmSjBFTX',
